restockMaster[state],restockMaster[productDescription],restockMaster[productName],restockMaster[location],restockMaster[vendor],restockMaster[brand],restockMaster[primaryCategory],restockMaster[subCategory],restockMaster[productGramsMapped],[SumtransactionItemsTotalBeforeTax],[Quantity],[Qty_Sold___Day],[Days_in_Stock],[Adj_Qty_Sold___Day],[SumtransactionItemsTotalCost],[GP],[SumtransactionItemsTotalDiscount],[SuminventoryQuantity],[SuminventoryCost],[Avg_Inventory_Age],[Avg_Cost],[Avg_Price],[Avg_Margin],[Par],[Par__Adj_],[Weekly_Usage],[Restock_Amt],[Restock__],[DOS],[Adj_Restock_Amt],[Adj_Restock__],[DOS__Adj_]
Pennsylvania,Gron Candy Gummy 0.1g,Gron MEGA Cherry Lime Troches 100mg [2pk],ZEN-Monroeville,Gron,Gron,Edible,Candy,0.1 g,66.79,8,0.13333,18,0.444444444,51.2,15.59,65.21,0,0,,6.4,8.35,0.233418176,2.79993,9,1,3.73,23.87,0,12,76.8,0
Florida,MUV Extract 1g,MÜV Plus Minty Blizzard CDT Syringe 1g,MUV-Marco Island,Verano,MUV,Concentrate,Extract,1 g,66.78,3,0.05,61,0.049180328,18.15979352,48.62020648,100.48,1,9.07989676,126,6.05,22.26,0.728065386,1.05,1,0,0.4,2.42,20,0,0,20.33333333
Illinois,Redemption Botanicals Single Pack 1g,Redemption Botanicals Uva Z Pre-Roll 1g [1pk],ZEN-Saint Charles,Redemption Botanicals,Redemption Botanicals,Pre-Roll,Single Pack,1 g,66.74,10,0.16667,4,2.5,56,10.74,98.26,0,0,,5.6,6.67,0.160922985,3.50007,53,1,4.67,26.15,0,70,392,0
Maryland,Nature's Heritage Multi-Pack 2.5g,Nature's Heritage Chestah The Cheetah Pre-Rolls 2.5g Multipack,ZEN-Pasadena,MariMed,Nature's Heritage,Pre-Roll,Multi-Pack,2.5 g,66.74,3,0.05,6,0.5,45,21.74,24.76,22,330,5,15,22.25,0.325741684,1.05,11,0,-20.6,-309,440,-8,-120,44
Illinois,Swift Lifts Multi-Pack 3.5g,Swift Lifts Short Lifts Georgia Pie x Gastro Pop Pre-Roll 3.5g [10pk],ZEN-Evanston,Verano,Swift Lifts,Pre-Roll,Multi-Pack,3.5 g,66.74,2,0.03333,6,0.333333333,44,22.74,22.26,22,484,5,22,33.37,0.340725202,0.69993,7,0,-21.07,-463.54,660.0660066,-13,-286,66
Arizona,Stiiizy Single Pack Infused 1g,STIIIZY Sky OG Infused Pre-Roll 1g [1pk],ZEN-Tempe,Stiiizy,Stiiizy,Pre-Roll,Single Pack,1 g,66.73,5,0.08333,29,0.172413793,37.5,29.23,35.77,15,112.5,28,7.5,13.35,0.438033868,1.74993,4,1,-12.67,-95.03,180.0072003,-10,-75,87
Pennsylvania,Prime Wellness Cured Resin Cartridge 0.5g,Prime Wellness Supernatural Thai #10 Cured Resin 0.5g Cartridge,ZEN-Pittsburgh Robinson,Acreage,Prime Wellness,Vape,Cartridge,0.5 g,66.73,5,0.08333,6,0.833333333,31.25,35.48,60.77,5,31.25,5,6.25,13.35,0.53169489,1.74993,18,1,-2.67,-16.69,60.0024001,18,112.5,6
Arizona,Stiiizy All In One 1g,STIIIZY Strawberry Milkshake Liquid Diamonds 1g All-In-One,ZEN-Chandler,Stiiizy,Stiiizy,Vape,All In One,1 g,66.73,3,0.05,1,3,32.4,34.33,54.02,0,0,,10.8,22.24,0.514461262,1.05,63,0,1.4,15.12,0,84,907.2,0
Florida,MUV Live Extract Resin 0.5g,MÜV Live Resin Gelanoidz 0.5g,MUV-Titusville,Verano,MUV,Concentrate,Live Extract,0.5 g,66.73,5,0.08333,51,0.098039216,10.45140993,56.27859007,187.02,0,0,,2.09,13.35,0.843377642,1.75014,2,1,2.34,4.89,0,3,6.27,0
Florida,MUV All In One 0.3g,MÜV Plus Trop Teeth #2 0.3g,MUV-North Port,Verano,MUV,Vape,All In One,0.3 g,66.72,4,0.06667,39,0.102564103,9.222532969,57.49746703,56.28,0,0,,2.31,16.68,0.861772587,1.40007,2,0,1.87,4.32,0,3,6.93,0
Florida,MUV  Each,MÜV Toker Short Sleeve Tee LG,MUV-Port St. Lucie,Verano,MUV,Apparel,T-Shirt,,66.71,5,0.08333,61,0.081967213,0,66.71,73.29,6,,67,0,13.34,1,1.74993,2,1,-3.67,0,72.00288012,-4,0,73.2
Arizona,Canamo Cured Extract Badder 2.5g,Canamo Permanent Funk Badder 2.5g Cured Resin,ZEN-Phoenix (Cave Creek),Ponderosa Botanical Care Inc.,Canamo,Concentrate,Cured Extract,2.5 g,66.7,3,0.05,13,0.230769231,82.5,-15.8,99.8,22,605,12,27.5,22.23,-0.236881559,1.05,5,0,-20.6,-566.5,440,-16,-440,95.33333333
Pennsylvania,Garcia Hand Picked Small Buds 7g,Garcia Hand Picked Mad Honey 7g Smalls,ZEN-New Kensington,High Mountain Imports,Garcia Hand Picked,Flower,Small Buds,7 g,66.69,2,0.03333,4,0.5,54,12.69,62.31,0,0,,27,33.35,0.190283401,0.69993,11,0,0.93,25.11,0,14,378,0
Pennsylvania,Valhalla Candy Troche 0.1g,Valhalla Pineapple (Sativa) Troches 100mg [1pk],ZEN-Norristown,TerrAscend,Valhalla,Edible,Candy,0.1 g,66.69,10,0.16667,18,0.555555556,24.5,42.19,8.31,0,0,,2.45,6.67,0.63262858,3.50007,12,1,4.67,11.44,0,16,39.2,0
Florida,MUV  Each,MÜV High Garden Society Hoodie MD,MUV-Pinellas Park,Verano,MUV,Apparel,Hoodie,,66.68,2,0.03333,61,0.032786885,0,66.68,23.32,1,,65,0,33.34,1,0.69993,1,0,-0.07,0,30.0030003,0,0,30.5
Ohio,Buckeye Relief Small Buds 14.15g,Buckeye Relief | Smalls | Lemon Dosi (I) (21%) | 14.15g,ZEN-Cincinnati,Buckeye Relief,Buckeye Relief,Flower,Small Buds,14.15 g,66.67,1,0.01667,1,1,47.5,19.17,28.58,,,,47.5,66.67,0.287535623,0.35007,21,0,0.47,22.33,,28,1330,
