restockMaster[state],restockMaster[productDescription],restockMaster[productName],restockMaster[location],restockMaster[vendor],restockMaster[brand],restockMaster[primaryCategory],restockMaster[subCategory],restockMaster[productGramsMapped],[SumtransactionItemsTotalBeforeTax],[Quantity],[Qty_Sold___Day],[Days_in_Stock],[Adj_Qty_Sold___Day],[SumtransactionItemsTotalCost],[GP],[SumtransactionItemsTotalDiscount],[SuminventoryQuantity],[SuminventoryCost],[Avg_Inventory_Age],[Avg_Cost],[Avg_Price],[Avg_Margin],[Par],[Par__Adj_],[Weekly_Usage],[Restock_Amt],[Restock__],[DOS],[Adj_Restock_Amt],[Adj_Restock__],[DOS__Adj_]
Illinois,High Supply Small Buds 7g,High Supply Flan 7g Smalls,ZEN-Aurora,Cresco,High Supply,Flower,Small Buds,7 g,204.29,5,0.08333,61,0.081967213,121.9,82.39,123.21,19,463.22,74,24.38,40.86,0.403299231,1.74993,2,1,-16.67,-406.41,228.0091204,-17,-414.46,231.8
Connecticut,Sound View Drinks Seltzer 0g,Soundview Watermelon Seltzer 3mg [12oz],ZEN-Enfield,Sound View,Sound View,Edible,Drinks,0 g,204.28,36,0.6,43,0.837209302,108,96.28,29.22,25,75,75,3,5.67,0.471313883,12.6,18,4,-8.2,-24.6,41.66666667,-2,-6,29.86111111
Pennsylvania,(the) Essence Cartridge Nectar 1g,(the) Essence Nectar Grape Mint Gas Cured Resin 1g Cartridge,ZEN-Cranberry Township,Verano,(the) Essence,Vape,Cartridge,1 g,204.28,7,0.11667,54,0.12962963,183.75,20.53,149.22,5,131.25,53,26.25,29.18,0.100499315,2.45007,3,1,-1.73,-45.41,42.8559184,-1,-26.25,38.57142857
Illinois,Remedi Extract RSO 0.5g,Remedi Relief RSO .5g RSO,ZEN-Aurora,Cresco,Remedi,Concentrate,Extract,0.5 g,204.27,10,0.16667,47,0.212765957,112.5,91.77,100.73,6,67.5,46,11.25,20.43,0.449258335,3.50007,4,1,-1.33,-14.96,35.99928001,0,0,28.2
Florida,MUV Shake 3.5g,MÜV Mint Shake 3.5g,MUV-Lakeland,Verano,MUV,Flower,Whole Buds,3.5 g,204.26,8,0.13333,61,0.131147541,27.07740337,177.1825966,197.74,0,0,,3.38,25.53,0.867436584,2.79993,3,1,3.73,12.61,0,4,13.52,0
Illinois,Blazy Susan Rolling Papers/Cones Each,Blazy Susan Cones 1 1/4 Pink [6pk],ZEN-Prospect Heights,High Mountain Imports,Blazy Susan,Accessories,Rolling Papers/Cones,,204.25,41,0.68333,61,0.672131148,275.01,-70.76,21.25,42,56.2,256,6.71,4.98,-0.346438188,14.34993,14,5,-22.87,-153.46,61.46371446,-23,-154.33,62.48780488
Florida,MUV Oil Based 0.15g,MÜV Ease THC Intimacy Oil 150mg,MUV-Winter Haven,Verano,MUV,Topical,Oil Based,0.15 g,204.24,10,0.16667,61,0.163934426,14.03738662,190.2026134,153.26,6,8.42243197,72,1.4,20.42,0.93127014,3.50007,3,1,-1.33,-1.86,35.99928001,-1,-1.4,36.6
Florida,MUV Extract RSO 1g,MÜV Pineapple Upside Down Cake RSO Dablicator 1g,MUV-Clearwater-RVT,Verano,MUV,Concentrate,Extract,1 g,204.23,6,0.1,21,0.285714286,52.10908479,152.1209152,160.27,0,0,,8.68,34.04,0.744850978,2.1,6,1,2.8,24.3,0,8,69.44,0
Massachusetts,Cheetah All In One 0.5g,Cheetah | Disposable Live Rosin Papaya (H) | 0.5g,ZEN-Plymouth,Ianthus,Cheetah,Vape,All In One,0.5 g,204.23,6,0.1,60,0.1,105,99.23,8.77,16,280,75,17.5,34.04,0.48587377,2.1,2,1,-13.2,-231,160,-13,-227.5,160
Pennsylvania,Standard Farms Live Extract Rosin 3.5g,Standard Farms Truffaloha #2 Rosin 3.5g Live Rosin,ZEN-Monroeville,Standard Farms,Standard Farms,Concentrate,Live Extract,3.5 g,204.23,2,0.03333,41,0.048780488,140,64.23,76.77,0,0,,70,102.12,0.31449836,0.69993,1,0,0.93,65.1,0,1,70,0
Pennsylvania,Prime Wellness Live Extract Resin 1g,Prime Wellness Chem De La Thai #74 Sauce 1g Live Resin,ZEN-West Chester,Acreage,Prime Wellness,Concentrate,Live Extract,1 g,204.22,9,0.15,61,0.147540984,129.6,74.62,160.28,9,129.6,49,14.4,22.69,0.365390265,3.15,3,1,-4.8,-69.12,60,-5,-72,61
Connecticut,Dark Heart Whole Buds 3.5g,Dark Heart Collection Titan Express 3.5g Flower,ZEN-Norwich,Curaleaf,Dark Heart,Flower,Whole Buds,3.5 g,204.21,6,0.1,11,0.545454545,120,84.21,38.79,0,0,,20,34.04,0.41236962,2.1,11,1,2.8,56,0,15,300,0
Florida,MUV  Each,MÜV High Garden Society Hoodie MD,MUV-St. Augustine,Verano,MUV,Apparel,Hoodie,,204.2,6,0.1,61,0.098360656,0,204.2,65.8,2,,66,0,34.03,1,2.1,2,1,0.8,0,20,1,0,20.33333333
Arizona,Savvy Flower 7g,Savvy Tuscan Gelato 7g Flower,ZEN-Phoenix (Emerald),Verano,Savvy,Flower,Flower,7 g,204.2,9,0.15,13,0.692307692,225,-20.8,250.3,16,400,12,25,22.69,-0.101860921,3.15,15,1,-11.8,-295,106.6666667,3,75,23.11111111
Arizona,Canamo Live Extract Resin 3g,Canamo The Octagon Sauce 3g Live Resin,ZEN-Phoenix (Cave Creek),Ponderosa Botanical Care Inc.,Canamo,Concentrate,Live Extract,3 g,204.19,4,0.06667,33,0.121212121,140,64.19,77.81,21,735,32,35,51.05,0.314364073,1.40007,3,0,-19.13,-669.55,314.9842508,-18,-630,173.25
Arizona,Drip Multi-Pack 2.5g,Drip RS11 Pre-Roll 2.5g [5pk],ZEN-Chandler,TruMed,Drip,Pre-Roll,Multi-Pack,2.5 g,204.19,10,0.16667,9,1.111111111,125,79.19,80.81,2,25,8,12.5,20.42,0.387825065,3.50007,23,1,2.67,33.38,11.99976,29,362.5,1.8
Nevada,Drink Loud Drinks Drink Mix 0.1g,Drink Loud Kush Berry Drink Mix 100mg [1pk] Beverage,ZEN-Reno,Rove,Drink Loud,Edible,Drinks,0.1 g,204.19,28,0.46667,31,0.903225806,112,92.19,89.81,12,48,10,4,7.29,0.451491258,9.80007,19,3,1.07,4.28,25.71410204,13,52,13.28571429
Arizona,Tru Infusion Baked Goods 0.1g,Tru Infusion  Night Rainbow Mallow Bites 100mg [10pk],ZEN-Phoenix (Emerald),Nature's Wonder,Tru Infusion,Edible,Baked Goods,0.1 g,204.18,27,0.45,61,0.442622951,97.2,106.98,133.07,14,50.4,88,3.6,7.56,0.523949456,9.45,9,3,-1.4,-5.04,31.11111111,-2,-7.2,31.62962963
Illinois,Savvy Flower 7g,Savvy Yuzu Sour 7g Flower,ZEN-Prospect Heights,Verano,Savvy,Flower,Flower,7 g,204.18,6,0.1,6,1,180,24.18,158.82,0,0,,30,34.03,0.118424919,2.1,21,1,2.8,84,0,28,840,0
Pennsylvania,Double Bear Cured Extract Sugar 4g,Double Bear Lemon Wafer Sugar 4g Cured Resin,ZEN-Fairless Hills,Terrapin,Double Bear,Concentrate,Cured Extract,4 g,204.17,3,0.05,5,0.6,138,66.17,142.33,0,0,,46,68.06,0.324092668,1.05,13,0,1.4,64.4,0,17,782,0
Florida,(the) Essence Pod 1g,(the) Essence HYPHEN Permanent Marker 1g Pod,MUV-Pensacola,Verano,(the) Essence,Vape,Pod,1 g,204.15,8,0.13333,26,0.307692308,0,204.15,241.85,16,,25,0,25.52,1,2.79993,6,1,-12.27,0,120.0030001,-7,0,52
Florida,Savvy Batteries 510 Battery Each,Savvy Seed 510 Battery Each,MUV-Apopka,Verano,Savvy,Accessories,Batteries,,204.15,15,0.25,61,0.245901639,135.66,68.49,170.85,63,610.47,110,9.04,13.61,0.335488611,5.25,5,2,-56,-506.24,252,-56,-506.24,256.2
Florida,Savvy Multi-Pack 5g,Savvy Mint Shake Barrels 5g [10-Pack],MUV-Ft Myers Beach,Verano,Savvy,Pre-Roll,Multi-Pack,5 g,204.15,9,0.15,22,0.409090909,0,204.15,252.6,23,,21,0,22.68,1,3.15,9,1,-18.8,0,153.3333333,-12,0,56.22222222
Illinois,Avexia Extract RSO 0.5g,Avexia Orange Pound Cake RSO .5g RSO,ZEN-Lombard,Verano,Avexia,Concentrate,Extract,0.5 g,204.15,7,0.11667,15,0.466666667,140,64.15,79.35,0,0,,20,29.16,0.314229733,2.45007,10,1,3.27,65.4,0,13,260,0
Illinois,Avexia Extract RSO 0.5g,Avexia Strawberry Cough RSO .5g RSO,ZEN-Prospect Heights,Verano,Avexia,Concentrate,Extract,0.5 g,204.15,8,0.13333,27,0.296296296,160,44.15,119.85,4,80,26,20,25.52,0.216262552,2.79993,6,1,-0.27,-5.4,30.00075002,4,80,13.5
Virginia,Foundry Whole Buds 1g,BH Flower - 1g - Sour Garlic - Foundry Full Flower,ZEN-Portsmouth,Jushi,Foundry,Flower,Whole Buds,1 g,204.15,12,0.2,11,1.090909091,90,114.15,8.85,38,285,12,7.5,17.01,0.559147686,4.2,23,1,-32.4,-243,190,-7,-52.5,34.83333333
Illinois,Avexia Salts Bath Soak 0.1g,Avexia Epsom Salt Lavender Bath Soak 100mg Transdermal,ZEN-Naperville,Verano,Avexia,Topical,Salts,0.1 g,204.13,10,0.16667,61,0.163934426,150,54.13,100.87,9,135,41,15,20.41,0.265174154,3.50007,3,1,-4.33,-64.95,53.99892002,-4,-60,54.9
Florida,MUV Sublingual Dropper 0.6g,MÜV Minty Blizzard RSO Tincture 600mg (30mL),MUV-Pinellas Park,Verano,MUV,Tincture,Sublingual,0.6 g,204.11,6,0.1,32,0.1875,18.85334932,185.2566507,190.39,18,84.84007195,31,3.14,34.02,0.907631428,2.1,4,1,-15.2,-47.73,180,-13,-40.82,96
Florida,(the) Essence Pod Live Rosin Cartridge 1g,(the) Essence HYPHEN Motorbreath Live Rosin 1g Pod,MUV-Fort Pierce,Verano,(the) Essence,Vape,Pod,1 g,204.1,5,0.08333,26,0.192307692,0,204.1,219.65,19,,25,0,40.82,1,1.74993,4,1,-16.67,0,228.0091204,-14,0,98.8
Florida,(the) Essence Single Pack 0.7g,(the) Essence Grape Mint Gas 0.7g [1-Pack],MUV-Port Charlotte,Verano,(the) Essence,Pre-Roll,Single Pack,0.7 g,204.1,49,0.81667,42,1.166666667,29.50036392,174.5996361,200.15,0,0,,0.6,4.17,0.855461225,17.15007,25,6,22.87,13.72,0,33,19.8,0
Florida,MUV Single Pack 0.7g,MÜV Super Lemon G 0.7g [1-Pack],MUV-Tampa Dale Mabry,Verano,MUV,Pre-Roll,Single Pack,0.7 g,204.1,47,0.78333,22,2.136363636,0,204.1,183.66,1,,21,0,4.34,1,16.44993,45,5,20.93,0,1.276601177,59,0,0.468085106
Arizona,Day Savers Rolling Papers/Cones Each,Daysavers King Size Glass Filter Cones [5pk],ZEN-Arcadia,Day Savers,Day Savers,Accessories,Rolling Papers/Cones,,204.09,39,0.65,45,0.866666667,116.8,87.29,49.41,0,0,,2.99,5.23,0.427703464,13.65,18,5,18.2,54.42,0,24,71.76,0
Illinois,Bedford Grow Whole Buds 3.5g,Bedford Grow Mayday 3.5g Flower,ZEN-Aurora,Bedford Grow,Bedford Grow,Flower,Whole Buds,3.5 g,204.09,8,0.13333,61,0.131147541,143.04,61.05,199.91,4,71.52,195,17.88,25.51,0.299132736,2.79993,3,1,-0.27,-4.83,30.00075002,0,0,30.5
Illinois,Good Green Whole Buds 14g,Good Green Lavender Gelato 14g Flower,ZEN-CHI Rogers Park,GTI,Good Green,Flower,Whole Buds,14 g,204.08,3,0.05,2,1.5,105,99.08,97.42,0,0,,35,68.03,0.485495884,1.05,32,0,1.4,49,0,42,1470,0
Illinois,Kaviar Ground 3.5g,Kaviar Windbreaker 3.5g Infused Ground,ZEN-CHI Rogers Park,Kaviar,Kaviar,Flower,Ground,3.5 g,204.08,8,0.13333,49,0.163265306,109.2,94.88,111.92,8,109.2,48,13.65,25.51,0.464915719,2.79993,3,1,-4.27,-58.29,60.00150004,-3,-40.95,49
