Locations,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Brand House,Brand,Product,Pack Size,Month,Total Retail Sales,Total Units,Original List Price,Discount List Price,Pack ARP,EQ ARP,Cost
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Fuel Biscuits - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,215.1175608,4.836547936,55,,44.4775,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Fuel Biscuits - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,33.03227891,1.209136984,30,,27.31888888,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Gelatti Mints - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,292.4186408,12.09136984,30,,24.18407878,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Lemon Skunk - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,315.9474939,7.254821903,55,,43.55,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Permanent Marker - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,465.3432896,8.463958887,55,,54.97938917,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Pink Runtz - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,53.61008415,1.209136984,55,,44.33747777,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Pink Runtz - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,87.72559225,3.627410952,30,,24.18407879,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Platinum Kush - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,30.05315206,1.209136984,30,,24.85504327,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Rainbow Runtz - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,214.4403366,4.836547936,55,,44.33747777,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,AltSol,"AltSol - Rainbow Runtz - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,116.9674563,4.836547936,30,,24.18407878,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Highlander Farms,"Highlander Farms - Country Road Kush - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,93.40482499,2.418273968,55,,38.62458358,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Highlander Farms,"Highlander Farms - Country Sunset - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,46.7024125,1.209136984,55,,38.62458358,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Highlander Farms,"Highlander Farms - Dolly Sods Diesel - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,50.94808636,1.209136984,60,,42.13590936,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Highlander Farms,"Highlander Farms - Dundee Koffee - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,186.80965,4.836547936,55,,38.62458358,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Highlander Farms,"Highlander Farms - Holler - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,46.7024125,1.209136984,55,,38.62458358,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Highlander Farms,"Highlander Farms - Hunters Green - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,46.7024125,1.209136984,55,,38.62458358,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Highlander Farms,"Highlander Farms - Tiki Trail Kush - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,186.80965,4.836547936,55,,38.62458358,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Monarch,"Monarch - Blackberry Kush - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,55.40920813,2.418273968,40,,22.91270917,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Monarch,"Monarch - Cherry Pie - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,20.77845305,2.418273968,15,,8.59226594,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Monarch,"Monarch - Ghost Train Haze - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,23.30758594,1.209136984,40,,19.27621622,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Other,Natural Cannabis Company,"Natural Cannabis Company - Orange Tsunami - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,33.96539091,1.209136984,40,,28.09060624,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Classix Brand,"Classix Brand - Blue Gelato - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,19.20290901,1.209136984,40,,15.8815,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Classix Brand,"Classix Brand - Franco's Lemon Cheese - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,135.5389644,3.627410952,56.66666667,44,37.36520791,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Classix Brand,"Classix Brand - Jack Herer - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,180.9129962,4.836547936,60,48,37.40539711,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Classix Brand,"Classix Brand - Red Bullz - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,65.81892935,2.418273968,60,,27.21731707,,
