restockMaster[state],restockMaster[productDescription],restockMaster[productName],restockMaster[location],restockMaster[vendor],restockMaster[brand],restockMaster[primaryCategory],restockMaster[subCategory],restockMaster[productGramsMapped],[SumtransactionItemsTotalBeforeTax],[Quantity],[Qty_Sold___Day],[Days_in_Stock],[Adj_Qty_Sold___Day],[SumtransactionItemsTotalCost],[GP],[SumtransactionItemsTotalDiscount],[SuminventoryQuantity],[SuminventoryCost],[Avg_Inventory_Age],[Avg_Cost],[Avg_Price],[Avg_Margin],[Par],[Par__Adj_],[Weekly_Usage],[Restock_Amt],[Restock__],[DOS],[Adj_Restock_Amt],[Adj_Restock__],[DOS__Adj_]
Florida,MUV Sublingual Dropper 0.6g,MÜV CBD 30:1 RSO Tincture 600mg (30mL),MUV-Brandon,Verano,MUV,Tincture,Sublingual,0.6 g,1182.65,34,0.56667,61,0.557377049,113.6293617,1069.020638,1052.85,22,113.6293617,28,3.34,34.78,0.903919704,11.90007,12,4,-6.13,-20.47,38.82330104,-6,-20.04,39.47058824
Maryland,Verano Live Extract Badder 1g,Verano Gastro Pop Badder 1.0g Live,ZEN-Elkridge,Verano,Verano,Concentrate,Live Extract,1 g,1182.62,38,0.63333,61,0.62295082,950,232.62,736.38,14,350,56,25,31.12,0.196698855,13.29993,13,4,3.73,93.25,22.1053795,3,75,22.47368421
Pennsylvania,Savvy Flower 28g,Savvy Grape Noir 28g Flower,ZEN-York,Verano,Savvy,Flower,Flower,28 g,1182.61,12,0.2,11,1.090909091,1110,72.61,1163.39,0,0,,92.5,98.55,0.061398094,4.2,23,1,5.6,518,0,31,2867.5,0
Maryland,AiroPro Pod 1g,AiroPro Golden Pannetone 1.0g Pod,ZEN-Pasadena,SunMed,AiroPro,Vape,Pod,1 g,1182.57,31,0.51667,31,1,611.91,570.66,382.93,17,393.21,17,19.74,38.15,0.482559172,10.85007,21,4,-2.53,-49.94,32.90301353,11,217.14,17
Arizona,Savvy Pod 2g,Savvy HYPHEN Watermelon Z 2g Pod,ZEN-Mesa,Verano,Savvy,Vape,Pod,2 g,1182.49,41,0.68333,61,0.672131148,1004.5,177.99,846.51,19,465.5,32,24.5,28.84,0.150521357,14.34993,14,5,0.13,3.18,27.80501368,0,0,28.26829268
Arizona,Alien Labs Whole Buds 3.5g,Alien Labs Baklava 3.5g Flower,ZEN-Phoenix (Emerald),Alien Labs,Alien Labs,Flower,Whole Buds,3.5 g,1182.47,37,0.61667,45,0.822222222,925,257.47,684.53,11,275,28,25,31.96,0.217739139,12.95007,17,4,6.27,156.75,17.83774142,12,300,13.37837838
Florida,MUV Candy Caramel 0.1g,MÜV Caramel Sea Salt 100mg [10-Pack],MUV-Pensacola,Verano,MUV,Edible,Candy,0.1 g,1182.45,101,1.68333,27,3.740740741,50.43561899,1132.014381,1418.3,35,32.09539391,4,0.5,11.71,0.95734651,35.34993,79,12,12.13,6.07,20.79212038,70,35,9.356435644
Florida,(the) Essence Whole Buds 14g,(the) Essence Wedding Kush Mints 14g,MUV-Deerfield Beach,Verano,(the) Essence,Flower,Whole Buds,14 g,1182.39,16,0.26667,61,0.262295082,215.6010498,966.7889502,1381.61,15,215.6010498,12,13.48,73.9,0.817656569,5.60007,6,2,-7.53,-101.5,56.24929688,-8,-107.84,57.1875
Virginia,Swift Lifts Multi-Pack 3.5g,V Pre-Roll - B52 Bomber - Swift Lifts [10pk - 3.5g],ZEN-Williamsburg,Verano,Swift Lifts,Pre-Roll,Multi-Pack,3.5 g,1182.3,33,0.55,17,1.941176471,742.5,439.8,319.2,,,,22.5,35.83,0.371986805,11.55,41,4,15.4,346.5,,54,1215,
Florida,Verano Whole Buds 3.5g,Verano E85 3.5g,MUV-Lakeland,Verano,Verano,Flower,Whole Buds,3.5 g,1182.24,38,0.63333,25,1.52,107.1477381,1075.092262,1107.26,0,0,,2.82,31.11,0.909368878,13.29993,32,4,17.73,50,0,43,121.26,0
New Jersey,Fernway All In One 2g,Fernway Elderflower 2g All-In-One,ZEN-Mount Holly,Fernway,Fernway,Vape,All In One,2 g,1182.22,18,0.3,39,0.461538462,684,498.22,536.78,6,228,38,38,65.68,0.421427484,6.3,10,2,2.4,91.2,20,7,266,13
Florida,MUV Whole Buds 7g,MÜV Rotten Teeth 7g,MUV-St. Petersburg,Verano,MUV,Flower,Whole Buds,7 g,1182.08,24,0.4,11,2.181818182,179.6640884,1002.415912,983.92,0,0,,7.49,49.25,0.848010212,8.4,46,3,11.2,83.89,0,61,456.89,0
West Virginia,(the) Essence Cartridge 1g,(the) Essence Grandaddy Purple CDT 1g Cartridge,ZEN-Morgantown,Verano,(the) Essence,Vape,Cartridge,1 g,1182.08,28,0.46667,34,0.823529412,836,346.08,665.92,0,0,,29.86,42.22,0.292772063,9.80007,17,3,13.07,390.27,0,23,686.78,0
Florida,MUV Whole Buds 28g,MÜV GMO Jungle Cake 28g,MUV-Orange Park,Verano,MUV,Flower,Whole Buds,28 g,1182.07,10,0.16667,19,0.526315789,0,1182.07,1817.93,8,,6.5,0,118.21,1,3.50007,11,1,-3.33,0,47.99904002,7,0,15.2
Florida,MUV Whole Buds 14g,MÜV Black Amber 14g,MUV-Tampa Himes,Verano,MUV,Flower,Whole Buds,14 g,1182,16,0.26667,45,0.355555556,243.3223691,938.6776309,1382,0,0,,15.21,73.88,0.794143512,5.60007,7,2,7.47,113.62,0,10,152.1,0
Ohio,Good Green Small Buds 2.83g,GTI | Good Green | Smalls | Head Cracker (I) (23%) | 2.83g,ZEN-Canton,GTI,Good Green,Flower,Small Buds,2.83 g,1181.91,60,1,8,7.5,637.8,544.11,348.09,,,,10.63,19.7,0.460365002,21,158,7,28,297.64,,210,2232.3,
Florida,Encore Candy Gummy 0.1g,Encore  Strawberry Soft Chews 100mg [10-Pack],MUV-Clearwater-RVT,Verano,Encore,Edible,Candy,0.1 g,1181.9,96,1.6,54,1.777777778,37.42222094,1144.477779,1290.11,41,37.42222094,24,0.39,12.31,0.968337236,33.6,37,11,3.8,1.48,25.625,9,3.51,23.0625
Pennsylvania,Savvy Flower 7g,Savvy Rocky Road 7g Flower,ZEN-Altoona,Verano,Savvy,Flower,Flower,7 g,1181.87,35,0.58333,58,0.603448276,1137.5,44.37,1215.63,16,520,54,32.5,33.77,0.0375422,12.24993,13,4,0.33,10.72,27.42872816,1,32.5,26.51428571
Michigan,Rare Michigan Genetics Bulk Deli Style 1g,Rare Michigan Genetics | Bulk Flower Cadbury OG (AU),ZEN-Buchanan,Rare Michigan Genetics,Rare Michigan Genetics,Flower,Bulk,1 g,1181.84282,242.5,4.04167,24,10.10416667,529.86735,651.97547,514.47,,,,2.19,4.87,0.551660051,84.87507,212,28,113.17,247.84,,283,619.77,
Pennsylvania,Savvy Flower 28g,Savvy Guerilla Grape 28g Flower,ZEN-Abington,Verano,Savvy,Flower,Flower,28 g,1181.76,12,0.2,4,3,1110,71.76,1164.24,0,0,,92.5,98.48,0.060722989,4.2,63,1,5.6,518,0,84,7770,0
Florida,MUV Chocolates 0.1g,MÜV Dark Chocolates 100mg [10-Pack],MUV-Ft Myers Cypress,Verano,MUV,Edible,Chocolates,0.1 g,1181.75,92,1.53333,61,1.508196721,40.4868105,1141.263189,1187.24,46,40.4868105,15.66666667,0.44,12.85,0.965739953,32.19993,32,11,-3.07,-1.35,30.00006522,-4,-1.76,30.5
Illinois,(the) Essence Multi-Pack 5g,(the) Essence Casey Jones Pre-Roll 5g [10pk],ZEN-Saint Charles,Verano,(the) Essence,Pre-Roll,Multi-Pack,5 g,1181.71,48,0.8,38,1.263157895,936,245.71,714.29,0,0,,19.5,24.62,0.207927495,16.8,27,6,22.4,436.8,0,35,682.5,0
Ohio,Incredibles Candy Gummy 0.45g,GTI | Incredibles | Gummies | Watermelon Smash (10pk) | 454mg,ZEN-Cincinnati,GTI,Incredibles,Edible,Candy,0.45 g,1181.7,28,0.46667,9,3.111111111,595,586.7,232.3,,,,21.25,42.2,0.49648811,9.80007,65,3,13.07,277.74,,87,1848.75,
Pennsylvania,Savvy Flower 14g,Savvy Gelato 14g Flower,ZEN-York,Verano,Savvy,Flower,Flower,14 g,1181.67,24,0.4,3,8,1200,-18.33,1230.33,0,0,,50,49.24,-0.015511945,8.4,168,3,11.2,560,0,224,11200,0
Florida,(the) Essence Whole Buds 3.5g,(the) Essence GG #4 3.5g,MUV-Fort Pierce,Verano,(the) Essence,Flower,Whole Buds,3.5 g,1181.59,72,1.2,48,1.5,252.7390794,928.8509206,2436.41,48,205.6182341,4,3.51,16.41,0.786102557,25.2,32,8,-14.4,-50.54,40,-6,-21.06,32
Florida,(the) Essence Whole Buds 28g,(the) Essence GG #4 28g,MUV-Lehigh Acres,Verano,(the) Essence,Flower,Whole Buds,28 g,1181.51,11,0.18333,60,0.183333333,342.0814506,839.4285494,2121.24,1,31.09831369,60,31.1,107.41,0.710470965,3.84993,4,1,4.13,128.44,5.45464463,4,124.4,5.454545455
Arizona,Uncle X Whole Buds 14g,Uncle X Axilla 14g Flower,ZEN-Phoenix (Emerald),Sol,Uncle X,Flower,Whole Buds,14 g,1181.45,34,0.56667,27,1.259259259,578,603.45,365.55,46,782,26,17,34.75,0.510770663,11.90007,26,4,-30.13,-512.21,81.17599308,-11,-187,36.52941176
Florida,MUV Whole Buds 7g,MÜV Motorbreath 7g,MUV-Venice,Verano,MUV,Flower,Whole Buds,7 g,1181.39,24,0.4,15,1.6,157.9488699,1023.44113,984.61,0,0,,6.58,49.22,0.866302517,8.4,34,3,11.2,73.7,0,45,296.1,0
Florida,MUV Spray 0.25g,MÜV Orange Mint THC Spray 250mg [15mL],MUV-Sarasota (Fruitville),Verano,MUV,Tincture,Spray,0.25 g,1181.37,57,0.95,61,0.93442623,89.69032214,1091.679678,856.38,27,60.54096745,27,1.57,20.73,0.924079398,19.95,20,7,-0.4,-0.63,28.42105263,-1,-1.57,28.89473684
Connecticut,Earl Baker Whole Buds 3.5g,Earl Baker Peach Diesel 3.5g Flower,ZEN-Naugatuck,Earl Baker,Earl Baker,Flower,Whole Buds,3.5 g,1181.33,25,0.41667,25,1,725,456.33,212.17,11,319,24,29,47.25,0.38628495,8.75007,21,3,0.67,19.43,26.3997888,17,493,11
Florida,Savvy Cartridge 1g,Savvy Blue Raz Haze 1g,MUV-Deltona,Verano,Savvy,Vape,Cartridge,1 g,1181.29,59,0.98333,61,0.967213115,483.4154572,697.8745428,1812.96,49,455.5261039,29.5,8.19,20.02,0.590773259,20.64993,20,7,-21.47,-175.84,49.83067739,-22,-180.18,50.66101695
Pennsylvania,Organic Remedies Whole Buds 14g,Organic Remedies Baker's Collision 14g Flower,ZEN-Monroeville,Organic Remedies,Organic Remedies,Flower,Whole Buds,14 g,1181.29,20,0.33333,17,1.176470588,800,381.29,828.71,0,0,,40,59.06,0.322774255,6.99993,25,2,9.33,373.2,0,33,1320,0
West Virginia,(the) Essence Cartridge 1g,(the) Essence Indigo Lotto BDT 1g Cartridge,ZEN-Westover,Verano,(the) Essence,Vape,Cartridge,1 g,1181.29,26,0.43333,61,0.426229508,767,414.29,373.71,49,1445.5,53,29.5,45.43,0.350709817,9.09993,9,3,-36.87,-1087.67,113.0777929,-37,-1091.5,114.9615385
Florida,Savvy Flower 7g,Savvy GMO Jungle Cake 7g,MUV-Tampa W Kennedy,Verano,Savvy,Flower,Flower,7 g,1181.28,40,0.66667,14,2.857142857,221.4264364,959.8535636,628.72,0,0,,5.54,29.53,0.812553809,14.00007,60,5,18.67,103.43,0,80,443.2,0
