restockMaster[state],restockMaster[productDescription],restockMaster[productName],restockMaster[location],restockMaster[vendor],restockMaster[brand],restockMaster[primaryCategory],restockMaster[subCategory],restockMaster[productGramsMapped],[SumtransactionItemsTotalBeforeTax],[Quantity],[Qty_Sold___Day],[Days_in_Stock],[Adj_Qty_Sold___Day],[SumtransactionItemsTotalCost],[GP],[SumtransactionItemsTotalDiscount],[SuminventoryQuantity],[SuminventoryCost],[Avg_Inventory_Age],[Avg_Cost],[Avg_Price],[Avg_Margin],[Par],[Par__Adj_],[Weekly_Usage],[Restock_Amt],[Restock__],[DOS],[Adj_Restock_Amt],[Adj_Restock__],[DOS__Adj_]
Illinois,Swift Lifts Single Pack 1g,Swift Lifts Long Lifts Orange Pound Cake Pre-Roll 1g [1pk],ZEN-Highland Park,Verano,Swift Lifts,Pre-Roll,Single Pack,1 g,131.68,13,0.21667,21,0.619047619,91,40.68,56.82,11,77,20,7,10.13,0.308930741,4.55007,13,2,-4.93,-34.51,50.76844972,6,42,17.76923077
Florida,(the) Essence Pod 1g,(the) Essence HYPHEN Northern Lights 1g Pod,MUV-JAX Beach,Verano,(the) Essence,Vape,Pod,1 g,131.67,5,0.08333,21,0.238095238,0,131.67,147.08,19,,20,0,26.33,1,1.74993,5,1,-16.67,0,228.0091204,-12,0,79.8
West Virginia,Hillfire Cartridge 0.5g,HillFire Spiced Blackberry BDT 0.5g Cartridge,ZEN-Morgantown,Firelands Scientific,Hillfire,Vape,Cartridge,0.5 g,131.67,5,0.08333,61,0.081967213,67.5,64.17,43.33,13,175.5,68,13.5,26.33,0.487354751,1.74993,2,1,-10.67,-144.05,156.0062402,-11,-148.5,158.6
Michigan,Camino Candy Gummy 0.2g,Camino Green Apple State Gummy 200mg [20pk] Candy,ZEN-Buchanan,Kiva,Camino,Edible,Candy,0.2 g,131.67,9,0.15,53,0.169811321,89.28,42.39,68.83,3,29.76,52,9.92,14.63,0.321941217,3.15,4,1,1.2,11.9,20,2,19.84,17.66666667
Maryland,Fade Company Live Extract Badder 1g,Fade Co Super Boof Badder 1.0g Live,ZEN-Germantown,Story Cannabis,Fade Company,Concentrate,Live Extract,1 g,131.66,4,0.06667,14,0.285714286,81,50.66,50.34,16,324,13,20.25,32.92,0.384778976,1.40007,6,0,-14.13,-286.13,239.9880006,-8,-162,56
Arizona,Connected Single Pack 1g,Connected Permanent Marker Pre-Roll 1g [1pk],ZEN-Tempe,Alien Labs,Connected,Pre-Roll,Single Pack,1 g,131.66,13,0.21667,29,0.448275862,91,40.66,56.34,0,0,,7,10.13,0.308825763,4.55007,9,2,6.07,42.49,0,13,91,0
Arizona,Zen Leaf  Each,Zen Leaf Hat Hand Drawn One Size,ZEN-Gilbert (VL),Verano,Zen Leaf,Apparel,Hat,,131.65,12,0.2,61,0.196721311,0,131.65,90.1,106,0,105,0,10.97,1,4.2,4,1,-100.4,0,530,-100,0,538.8333333
Florida,MUV Shake 7g,MÜV Mint Shake 7g,MUV-Venice,Verano,MUV,Flower,Shake,7 g,131.64,4,0.06667,59,0.06779661,31.99021926,99.64978074,229.36,0,0,,8,32.91,0.756987092,1.40007,1,0,1.87,14.96,0,2,16,0
Illinois,Lula's Cured Extract Badder 1g,Lula's Banana Drank Badder 1g Cured Resin,ZEN-Highland Park,Bedford Grow,Lula's,Concentrate,Cured Extract,1 g,131.64,5,0.08333,33,0.151515152,75,56.64,70.86,0,0,,15,26.33,0.430264357,1.74993,3,1,2.33,34.95,0,4,60,0
Arizona,Fade Company Multi-Pack 1g,Fade Co. Queen's Delight Pre-Roll 1g [2pk],ZEN-Arcadia,Story Cannabis,Fade Company,Pre-Roll,Multi-Pack,1 g,131.63,17,0.28333,16,1.0625,51,80.63,78.62,0,0,,3,7.74,0.61255033,5.94993,22,2,7.93,23.79,0,30,90,0
Florida,Sweet Supply Extract Crumble 1g,Sweet Supply Glaciers Crumble 1g,MUV-JAX DH,Verano,Sweet Supply,Concentrate,Extract,1 g,131.63,7,0.11667,21,0.333333333,0,131.63,153.62,17,,20,0,18.8,1,2.45007,7,1,-13.73,0,145.7101226,-8,0,51
Ohio,The Botanist Cartridge 1g,The Botanist | Cartridge | Grapple Pie (H) | 1g,ZEN-Cincinnati,Acreage,The Botanist,Vape,Cartridge,1 g,131.63,4,0.06667,32,0.125,64,67.63,30.37,,,,16,32.91,0.51378865,1.40007,3,0,1.87,29.92,,4,64,
Pennsylvania,Kind Tree Cured Extract Sugar 2g,Kind Tree Tri State Black Banana Sugar 2g Cured Resin,ZEN-Malvern,TerrAscend,Kind Tree,Concentrate,Cured Extract,2 g,131.62,3,0.05,27,0.111111111,63,68.62,64.88,7,147,26,21,43.87,0.521349339,1.05,2,0,-5.6,-117.6,140,-4,-84,63
Florida,MUV Live Extract Resin 1g,MÜV Live Resin Pineapple Upside Down Cake 1g,MUV-Fort Pierce,Verano,MUV,Concentrate,Live Extract,1 g,131.61,3,0.05,1,3,27.07049576,104.5395042,110.64,0,0,,9.02,43.87,0.794312774,1.05,63,0,1.4,12.63,0,84,757.68,0
